Tiempo(ns)	Valor
0,00015	-6795,8076217643165
0,00025	-6266,282958034883
0,00035	-6201,3352285614355
0,00045	-5613,768471171046
0,0005499999999999999	-5025,088248700607
0,00065	-4670,662510573103
0,00075	-4043,442261764401
0,00085	-4439,328069374562
0,00095	-4758,501999296684
0,00105	-4349,438762606209
0,00115	-4590,3560817879625
0,00125	-4424,7582492950705
0,0013499999999999999	-4199,570784251603
0,00145	-3764,546445583045
0,00155	-3883,029972784973
0,00165	-3894,5308038847493
0,0017499999999999998	-4241,045335533213
0,0018499999999999999	-3799,3123802597593
0,00195	-3963,622065360889
0,0020499999999999997	-4119,576103573002
0,00215	-4298,846454584116
0,00225	-3735,800943674284
0,00235	-3874,5499388056946
0,00245	-3957,0402122694354
0,0025499999999999997	-4314,294218004638
0,00265	-4744,534104899198
0,00275	-4892,343421970785
0,0028499999999999997	-4619,3730125302045
0,00295	-4436,789151413018
0,0030499999999999998	-4300,423632485615
0,00315	-4938,776603337272
0,00325	-5140,826973826296
0,0033499999999999997	-4280,022166352459
0,00345	-4373,613683870011
0,0035499999999999998	-4979,036381352667
0,00365	-4796,680477415267
0,00375	-4042,9985915322013
0,0038499999999999997	-4218,769418252779
0,0039499999999999995	-4075,6355128845294
0,00405	-3915,7516414897464
0,00415	-3485,4863755548636
0,0042499999999999994	-3807,70699781075
0,00435	-3984,5962514162134
0,00445	-3661,5554041732316
0,00455	-3928,313782956249
0,00465	-3714,8508097920444
0,00475	-4125,335623597952
0,00485	-4670,317124409407
0,0049499999999999995	-4604,818933072488
0,00505	-4180,82335464711
0,00515	-4635,470576876635
0,0052499999999999995	-4498,967372108581
0,00535	-4369,4645372715895
0,00545	-3965,5916513255233
0,005549999999999999	-4252,522631457891
0,00565	-4701,494102303661
0,00575	-4142,340198723024
0,00585	-4036,201952436023
0,0059499999999999996	-4262,736134106896
0,00605	-4881,813950822718
0,00615	-4164,073577164617
0,0062499999999999995	-4652,147776413983
0,00635	-4616,999959144649
0,00645	-4299,045862903638
0,006549999999999999	-3685,0954307570705
0,00665	-3711,055100340574
0,00675	-3622,5727948333415
0,006849999999999999	-3441,977722672884
0,00695	-3022,5424595273425
0,00705	-3338,312446417177
0,00715	-4251,3045174003455
0,0072499999999999995	-3631,3733141008347
0,00735	-3579,5913790752247
0,00745	-3070,691805017235
0,007549999999999999	-3514,773636611313
0,00765	-3321,1449742405375
0,00775	-2969,7135475939754
0,00785	-3753,371008333508
0,00795	-3172,5229631084794
0,00805	-3372,818697749943
0,00815	-3792,271511850034
0,00825	-2939,8759122037527
0,00835	-2828,9198594600093
0,00845	-3691,8923968279
0,00855	-3425,044151046604
0,00865	-3374,2035077591113
0,008749999999999999	-3757,0769420584193
0,00885	-3890,5488918381175
0,00895	-3681,091832276043
0,009049999999999999	-3541,1613841743324
0,00915	-4455,173805190635
0,00925	-4092,1710089215894
0,009349999999999999	-3185,625758069424
0,00945	-3795,1494869532085
0,00955	-3284,897343927239
0,009649999999999999	-3483,4618918459555
0,00975	-3432,101528464022
0,00985	-3926,7282590208147
0,009949999999999999	-3294,826570879684
