Tiempo(ns)	Valor
0,00015	-7863,491819878029
0,00025	-7700,339393651419
0,00035	-7485,6657584900795
0,00045	-6836,254879916274
0,0005499999999999999	-5963,785777321353
0,00065	-5209,566107104221
0,00075	-4896,168301495184
0,00085	-4521,042087030098
0,00095	-4241,738631310997
0,00105	-4519,800634279789
0,00115	-4752,857572949144
0,00125	-4453,820497981201
0,0013499999999999999	-4375,80158744187
0,00145	-5032,9073385794145
0,00155	-5570,252132446767
0,00165	-5490,084469840529
0,0017499999999999998	-4939,400699781696
0,0018499999999999999	-3845,0335080846585
0,00195	-4491,366883161144
0,0020499999999999997	-4099,672777052236
0,00215	-3971,902983450156
0,00225	-4865,507446028092
0,00235	-4835,523097098651
0,00245	-5022,55232938749
0,0025499999999999997	-4834,202966791802
0,00265	-5216,801624632332
0,00275	-5063,7907204448475
0,0028499999999999997	-4125,019818127824
0,00295	-4180,677916040715
0,0030499999999999998	-4089,1580392701626
0,00315	-4395,487164062729
0,00325	-4877,13522480571
0,0033499999999999997	-4279,68056714181
0,00345	-5315,9833796205285
0,0035499999999999998	-4539,497378015354
0,00365	-4459,78092767326
0,00375	-4196,853666314978
0,0038499999999999997	-4225,880945668185
0,0039499999999999995	-3932,2108703718104
0,00405	-3391,105833223803
0,00415	-3700,178666048867
0,0042499999999999994	-4146,1337190119175
0,00435	-4971,895431718034
0,00445	-4891,2500279496335
0,00455	-5520,438710498317
0,00465	-4979,602800047254
0,00475	-4349,9838122067995
0,00485	-3890,954386751113
0,0049499999999999995	-4401,877721661703
0,00505	-4319,6230248925
0,00515	-5150,025984779209
0,0052499999999999995	-4155,357483100346
0,00535	-4377,794034142426
0,00545	-4507,961961548567
0,005549999999999999	-4622,933276567052
0,00565	-4456,744727535829
0,00575	-4161,395379172316
0,00585	-4766,9501100502075
0,0059499999999999996	-4428,472364374792
0,00605	-3587,5923998639196
0,00615	-3552,109699715917
0,0062499999999999995	-3616,236716357196
0,00635	-4277,601872174546
0,00645	-4694,687985913571
0,006549999999999999	-4547,1804836919
0,00665	-4087,0842440598735
0,00675	-4134,583743160922
0,006849999999999999	-3784,3005511823826
0,00695	-3479,7412298972235
0,00705	-3779,2174722718405
0,00715	-4337,311300606238
0,0072499999999999995	-3908,4595687875926
0,00735	-4550,243637761921
0,00745	-4000,3089355509283
0,007549999999999999	-3852,9897340152984
0,00765	-3748,3972771913445
0,00775	-3648,999439934276
0,00785	-3760,2487700788447
0,00795	-4108,967769616313
0,00805	-4306,307062490171
0,00815	-3594,1021795361294
0,00825	-4590,382293412361
0,00835	-4082,5194159788052
0,00845	-4140,423234935526
0,00855	-3234,3077409114608
0,00865	-3870,909218928634
0,008749999999999999	-3754,080288107709
0,00885	-3536,8317614502753
0,00895	-3944,1544973405616
0,009049999999999999	-3897,0773994752835
0,00915	-4161,134431913298
0,00925	-3947,3160524659306
0,009349999999999999	-3949,9265794498797
0,00945	-3361,8700569171847
0,00955	-4024,778695093928
0,009649999999999999	-3631,481366463498
0,00975	-3642,9706110606676
0,00985	-3663,3737245517495
0,009949999999999999	-4020,9103012698765
