Tiempo(ns)	Valor
0,00015	-8190,643892334228
0,00025	-7879,499474876096
0,00035	-7912,136372538563
0,00045	-5987,760071996876
0,0005499999999999999	-5714,995085124358
0,00065	-5458,550320305756
0,00075	-4704,748426115978
0,00085	-4797,298384710088
0,00095	-5388,480594827654
0,00105	-4829,629820021211
0,00115	-3951,799718293844
0,00125	-3898,777884416393
0,0013499999999999999	-4694,591943892127
0,00145	-4299,245173825811
0,00155	-4429,045771574639
0,00165	-5531,894211690204
0,0017499999999999998	-5664,49971995211
0,0018499999999999999	-5133,625923884871
0,00195	-5785,297827571959
0,0020499999999999997	-5636,217162578946
0,00215	-5218,708664693344
0,00225	-5154,325834356976
0,00235	-5206,056520602397
0,00245	-5102,385783599768
0,0025499999999999997	-4224,037968213829
0,00265	-3986,214843347116
0,00275	-4153,623634942315
0,0028499999999999997	-4194,319338487483
0,00295	-4729,282499816034
0,0030499999999999998	-4905,4315357168125
0,00315	-4355,088593099119
0,00325	-4388,898953217137
0,0033499999999999997	-4685,821822946528
0,00345	-5067,131504653312
0,0035499999999999998	-5213,271172812362
0,00365	-5073,221073310782
0,00375	-5200,26286100301
0,0038499999999999997	-4757,822679745977
0,0039499999999999995	-4970,813189284773
0,00405	-4229,476105735008
0,00415	-4278,059435292081
0,0042499999999999994	-4684,069561134386
0,00435	-4032,2954903952564
0,00445	-4490,374508417858
0,00455	-4521,106593327397
0,00465	-3923,607034703002
0,00475	-4769,435639357263
0,00485	-4022,1982374944632
0,0049499999999999995	-4070,7675879575013
0,00505	-4516,472525404667
0,00515	-4795,5623552444395
0,0052499999999999995	-5062,446761545769
0,00535	-4420,932037882127
0,00545	-3999,1903788779064
0,005549999999999999	-4034,391286713324
0,00565	-3750,072636521841
0,00575	-4813,3279284296295
0,00585	-4931,182536287941
0,0059499999999999996	-4851,747748982903
0,00605	-4712,337763204671
0,00615	-5102,175155406317
0,0062499999999999995	-4358,714616963929
0,00635	-4544,08755956339
0,00645	-5195,914014388962
0,006549999999999999	-4593,097320900476
0,00665	-4390,117260415026
0,00675	-4213,0579341338125
0,006849999999999999	-5125,957485521838
0,00695	-5421,344795024646
0,00705	-4864,5211486356075
0,00715	-4170,178576066728
0,0072499999999999995	-4549,470874839541
0,00735	-4348,693937449036
0,00745	-3850,272575274557
0,007549999999999999	-4078,259902529963
0,00765	-4442,350865359287
0,00775	-4835,7817768580135
0,00785	-4783,53538224802
0,00795	-4817,584605058855
0,00805	-4977,95762295431
0,00815	-4584,037279646973
0,00825	-4251,573028285169
0,00835	-4063,77659825221
0,00845	-4233,1649836845145
0,00855	-4729,9404702872425
0,00865	-4499,929248715741
0,008749999999999999	-4614,887703644746
0,00885	-4888,619863392241
0,00895	-4830,577685489397
0,009049999999999999	-5306,0175452946305
0,00915	-4974,654036733089
0,00925	-3692,3075934907924
0,009349999999999999	-4229,746141048658
0,00945	-4534,748098269958
0,00955	-4215,807364202106
0,009649999999999999	-4593,893798666114
0,00975	-4579,934975121523
0,00985	-4800,96896758419
0,009949999999999999	-4684,2339121201885
