Paso	Valor
0	292,3003
100	377,8261
200	405,0837
300	424,1038
400	432,8588
500	444,6380
600	447,1953
700	457,2120
800	459,0256
900	471,5160
1000	468,4431
1100	471,4161
1200	477,8097
1300	472,7841
1400	481,5336
1500	483,7511
1600	494,8172
1700	498,0391
1800	505,1342
1900	513,7134
2000	504,7520
2100	502,1533
2200	511,1321
2300	504,5663
2400	503,4030
2500	503,3521
2600	507,9101
2700	513,2341
2800	517,1517
2900	509,2113
3000	512,5000
3100	503,5026
3200	508,7797
3300	511,1308
3400	505,8410
3500	510,3462
3600	506,9567
3700	507,5525
3800	500,4936
3900	505,4318
4000	506,0664
4100	504,4810
4200	517,8609
4300	507,6864
4400	507,7171
4500	512,3218
4600	508,5961
4700	506,0629
4800	507,1587
4900	505,3757
5000	510,4585
5100	508,3558
5200	510,9973
5300	512,3009
5400	506,7620
5500	499,7824
5600	503,5118
5700	503,6232
5800	504,4983
5900	507,6711
6000	513,3559
6100	510,3977
6200	514,4076
6300	509,7999
6400	512,6212
6500	515,9744
6600	514,3100
6700	512,7175
6800	512,1919
6900	508,0039
7000	505,7624
7100	508,5548
7200	502,0612
7300	505,9419
7400	509,4248
7500	514,5977
7600	515,1649
7700	513,8098
7800	513,7174
7900	520,9580
8000	518,6547
8100	514,2932
8200	519,0395
8300	517,5809
8400	525,5416
8500	522,6909
8600	524,1795
8700	524,2112
8800	528,3963
8900	514,1262
9000	523,9909
9100	522,4491
9200	516,8484
9300	525,9544
9400	520,4757
9500	510,5421
9600	510,0291
9700	522,8611
9800	522,1946
9900	521,1423
10000	519,0472
