Paso	Valor
0	292,3003
100	658,3850
200	760,9222
300	819,5001
400	879,7962
500	927,2787
600	949,5448
700	996,1558
800	1024,1458
900	1063,4472
1000	1094,9794
1100	1109,1848
1200	1147,8311
1300	1171,1212
1400	1202,2889
1500	1215,9053
1600	1212,5594
1700	1253,2227
1800	1284,5398
1900	1302,5282
2000	1328,4455
2100	1333,6486
2200	1351,6244
2300	1348,7323
2400	1390,8799
2500	1406,1419
2600	1415,1975
2700	1428,5355
2800	1463,7522
2900	1499,8045
3000	1513,6703
3100	1530,6383
3200	1568,9434
3300	1581,4594
3400	1598,7629
3500	1587,7818
3600	1625,3632
3700	1653,0731
3800	1663,4387
3900	1674,8494
4000	1744,4924
4100	1742,7440
4200	1745,7378
4300	1756,2838
4400	1761,0333
4500	1771,7363
4600	1785,1850
4700	1788,8000
4800	1815,6831
4900	1812,4153
5000	1842,3365
5100	1829,1755
5200	1879,4556
5300	1902,9534
5400	1897,8502
5500	1956,4655
5600	1956,3311
5700	1955,5074
5800	2000,1361
5900	2019,2610
6000	2005,2038
6100	2058,8680
6200	2072,0565
6300	2048,4165
6400	2065,0140
6500	2116,3310
6600	2129,3864
6700	2132,7993
6800	2131,8216
6900	2137,3303
7000	2152,7387
7100	2184,0055
7200	2211,9403
7300	2178,6784
7400	2177,1992
7500	2176,0614
7600	2212,7824
7700	2218,2865
7800	2235,4949
7900	2172,5196
8000	2234,2415
8100	2199,4712
8200	2256,2532
8300	2240,0426
8400	2230,6696
8500	2248,2576
8600	2224,2795
8700	2272,5001
8800	2243,9530
8900	2279,3089
9000	2270,3810
9100	2296,0316
9200	2271,5745
9300	2291,9637
9400	2295,9181
9500	2305,7371
9600	2297,0787
9700	2263,0783
9800	2311,0322
9900	2313,6227
10000	2308,5669
