Paso	Valor
0	292,3003
100	860,1816
200	998,5813
300	1096,6442
400	1169,1638
500	1256,7320
600	1318,1010
700	1343,6140
800	1437,9798
900	1445,1140
1000	1475,6503
1100	1528,6534
1200	1568,5202
1300	1610,9956
1400	1670,0527
1500	1723,7041
1600	1745,7893
1700	1779,2952
1800	1802,6870
1900	1872,0778
2000	1898,1193
2100	1950,1098
2200	1969,6754
2300	2014,3566
2400	2034,5561
2500	2101,6261
2600	2119,9195
2700	2147,6363
2800	2214,2688
2900	2216,1591
3000	2263,9151
3100	2289,8633
3200	2311,8579
3300	2341,2168
3400	2370,5083
3500	2411,9946
3600	2472,1576
3700	2489,6819
3800	2508,2819
3900	2552,0537
4000	2561,4592
4100	2577,3172
4200	2599,4089
4300	2643,0795
4400	2660,3473
4500	2681,3141
4600	2747,9814
4700	2744,5202
4800	2834,2642
4900	2818,3347
5000	2845,7224
5100	2867,8776
5200	2911,8057
5300	2920,2524
5400	2929,8484
5500	2945,5048
5600	3008,3049
5700	3011,4567
5800	3063,4785
5900	3061,5166
6000	3095,6225
6100	3099,1269
6200	3117,7264
6300	3074,2523
6400	3109,1784
6500	3118,0097
6600	3153,7209
6700	3193,6213
6800	3134,4898
6900	3183,2693
7000	3211,3192
7100	3247,3541
7200	3271,5713
7300	3241,9702
7400	3263,8864
7500	3293,6131
7600	3284,7713
7700	3279,2280
7800	3277,5057
7900	3317,3122
8000	3345,7460
8100	3278,7335
8200	3366,9023
8300	3358,6947
8400	3405,1515
8500	3352,0902
8600	3317,2416
8700	3315,4960
8800	3382,0034
8900	3341,9064
9000	3376,9369
9100	3401,5052
9200	3413,4457
9300	3423,2086
9400	3501,4125
9500	3486,1283
9600	3513,8791
9700	3496,3530
9800	3462,9805
9900	3480,8936
10000	3465,2439
