Paso	Valor
0	292,3003
100	497,5633
200	567,5122
300	597,2176
400	620,3731
500	646,1698
600	664,5841
700	680,2344
800	702,4384
900	704,4992
1000	718,1675
1100	731,6381
1200	735,6836
1300	751,8937
1400	773,4625
1500	759,3082
1600	786,8229
1700	797,8626
1800	803,5775
1900	818,6996
2000	832,2825
2100	823,4254
2200	831,5448
2300	837,5335
2400	848,4186
2500	859,4990
2600	858,4371
2700	871,7671
2800	882,0341
2900	890,0392
3000	885,4633
3100	903,7927
3200	926,3391
3300	920,8311
3400	937,8475
3500	939,0918
3600	946,2694
3700	936,7431
3800	959,2093
3900	978,9473
4000	988,9922
4100	987,9138
4200	980,4017
4300	996,6557
4400	993,0222
4500	994,2547
4600	1026,8020
4700	1015,8468
4800	1040,7604
4900	1035,8364
5000	1047,2583
5100	1034,8372
5200	1035,7904
5300	1055,0543
5400	1056,7061
5500	1077,2800
5600	1093,8367
5700	1089,5078
5800	1102,8631
5900	1117,4028
6000	1091,9942
6100	1104,1228
6200	1086,8412
6300	1142,7148
6400	1145,2401
6500	1162,1317
6600	1181,6611
6700	1185,4885
6800	1169,8680
6900	1165,2184
7000	1168,2020
7100	1183,1626
7200	1172,8158
7300	1198,6254
7400	1199,8181
7500	1197,0219
7600	1209,3939
7700	1231,5053
7800	1231,8150
7900	1221,8802
8000	1264,6048
8100	1233,7440
8200	1241,9134
8300	1229,5462
8400	1252,1913
8500	1250,3126
8600	1248,1459
8700	1257,0580
8800	1281,6699
8900	1271,1780
9000	1286,9505
9100	1279,4110
9200	1270,3057
9300	1277,4262
9400	1297,6806
9500	1295,5500
9600	1285,1432
9700	1291,3003
9800	1273,2104
9900	1283,0671
10000	1262,7065
