Paso	Valor
0	292,3003
100	299,8001
200	300,8529
300	297,3354
400	295,6537
500	292,3936
600	296,2555
700	293,2278
800	297,4001
900	298,2393
1000	295,0272
1100	291,8764
1200	294,4200
1300	292,1631
1400	299,4930
1500	290,0651
1600	295,6540
1700	298,9865
1800	294,5002
1900	298,3385
2000	295,2298
2100	296,1314
2200	297,2476
2300	296,5909
2400	295,9187
2500	300,4698
2600	295,5980
2700	294,3105
2800	298,2588
2900	297,0881
3000	297,1027
3100	296,1692
3200	299,0428
3300	296,1229
3400	299,6524
3500	298,2334
3600	300,2762
3700	295,7417
3800	296,5142
3900	293,1951
4000	298,6426
4100	295,8692
4200	293,9662
4300	295,0629
4400	297,8726
4500	294,5046
4600	293,5020
4700	295,0446
4800	301,0817
4900	293,0824
5000	302,3318
5100	301,1656
5200	298,9728
5300	297,7447
5400	300,1164
5500	301,1315
5600	292,7692
5700	297,6323
5800	301,1935
5900	295,3178
6000	298,4028
6100	295,9519
6200	296,5922
6300	298,5465
6400	302,8485
6500	300,7242
6600	298,4178
6700	301,7888
6800	300,0115
6900	299,9297
7000	302,2175
7100	297,5816
7200	302,5848
7300	300,1269
7400	293,9337
7500	298,6616
7600	298,7281
7700	302,4470
7800	300,4120
7900	295,8840
8000	302,2205
8100	297,2933
8200	300,8090
8300	300,7045
8400	301,8782
8500	296,0626
8600	293,7850
8700	299,7845
8800	298,7427
8900	298,2696
9000	296,5112
9100	300,1505
9200	294,3972
9300	297,5740
9400	302,9308
9500	297,0070
9600	298,8889
9700	299,8391
9800	293,8653
9900	296,1071
10000	298,3925
