Paso	Valor
0	292,3003
100	314,8365
200	322,6589
300	321,2796
400	325,7812
500	329,8887
600	329,7440
700	335,7844
800	331,4143
900	334,2678
1000	334,9030
1100	334,2627
1200	336,3059
1300	335,7426
1400	336,3953
1500	338,1279
1600	334,6246
1700	348,3278
1800	339,0023
1900	343,4400
2000	341,3208
2100	341,5389
2200	340,9545
2300	346,0445
2400	341,6707
2500	339,3495
2600	347,0539
2700	344,2410
2800	342,0864
2900	337,6429
3000	343,4319
3100	349,6993
3200	338,3634
3300	343,6207
3400	339,7854
3500	343,1635
3600	340,4001
3700	340,9657
3800	338,2998
3900	330,7752
4000	333,9119
4100	336,4003
4200	335,6639
4300	335,6773
4400	331,1608
4500	333,3607
4600	332,5457
4700	333,7823
4800	334,2943
4900	329,9927
5000	331,0902
5100	333,7854
5200	338,6163
5300	336,6213
5400	332,3622
5500	333,4598
5600	340,4990
5700	336,0325
5800	335,6050
5900	331,8578
6000	337,6632
6100	338,2489
6200	336,9927
6300	338,4399
6400	342,9554
6500	337,5770
6600	335,6718
6700	337,6090
6800	337,4541
6900	336,3168
7000	333,4058
7100	336,4550
7200	331,0962
7300	338,5987
7400	341,8076
7500	332,8822
7600	330,6061
7700	332,6352
7800	333,5506
7900	329,2909
8000	330,2101
8100	333,5824
8200	327,8424
8300	324,1578
8400	331,3967
8500	329,1350
8600	324,2142
8700	327,4951
8800	328,1712
8900	327,1703
9000	328,5986
9100	330,4705
9200	332,3833
9300	327,9811
9400	324,7462
9500	324,0309
9600	327,3588
9700	326,1773
9800	329,0978
9900	328,5803
10000	322,4684
